Seattle,Chicago,2097
Chicago,Seattle,2097
Seattle,Denver,1331
Denver,Seattle,1331
Seattle,San Francisco,807
San Francisco,Seattle,807
San Francisco,Denver,1267
Denver,San Francisco,1267
San Francisco,Los Angeles,381
Los Angeles,San Francisco,381
Los Angeles,Denver,1015
Denver,Los Angeles,1015
Los Angeles,Kansas City,1663
Kansas City,Los Angeles,1663
Los Angeles,Dallas,1435
Dallas,Los Angeles,1435
Denver,Chicago,1003
Chicago,Denver,1003
Denver,Kansas City,599
Kansas City,Denver,599
Kansas City,Chicago,533
Chicago,Kansas City,533
Kansas City,New York,1260
New York,Kansas City,1260
Kansas City,Atlanta,864
Atlanta,Kansas City,864
Kansas City,Dallas,496
Dallas,Kansas City,496
Chicago,Boston,983
Boston,Chicago,983
Chicago,New York,787
New York,Chicago,787
Boston,New York,214
New York,Boston,214
Atlanta,New York,888
New York,Atlanta,888
Atlanta,Dallas,781
Dallas,Atlanta,781
Atlanta,Houston,810
Houston,Atlanta,810
Atlanta,Miami,661
Miami,Atlanta,661
Houston,Miami,1187
Miami,Houston,1187
Houston,Dallas,239
Dallas,Houston,239





